更新时间: 2026-04-10 13:51:03（北京时间）

更新时间,#genre#
2026-04-10 13:51:03,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://183.164.55.112:5000/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://111.193.235.246:8888/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://182.135.34.97:888/rtp/239.94.0.1:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.2.34:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.0.31:5140$四川电信
CCTV1,http://182.135.34.97:888/rtp/239.94.2.69:5140$四川电信
CCTV1,http://106.116.240.74:9999/rtp/239.254.200.45:8008$河北省电信
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV2,http://183.164.55.112:5000/rtp/238.1.78.235:7752$安徽电信
CCTV2,http://111.193.235.246:8888/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://182.135.34.97:888/rtp/239.94.2.70:5140$四川电信
CCTV2,http://182.135.34.97:888/rtp/239.94.0.2:5140$四川电信
CCTV2,http://182.135.34.97:888/rtp/239.94.2.35:5140$四川电信
CCTV2,http://106.116.240.74:9999/rtp/239.254.200.158:6000$河北省电信
CCTV2,http://171.8.84.159:8800/rtp/239.16.20.2:10020$河南电信
CCTV3,http://183.164.55.112:5000/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://111.193.235.246:8888/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://182.135.34.97:888/rtp/239.94.0.32:5140$四川电信
CCTV3,http://182.135.34.97:888/rtp/239.94.0.3:5140$四川电信
CCTV3,http://106.116.240.74:9999/rtp/239.254.201.152:7205$河北省电信
CCTV3,http://171.8.84.159:8800/rtp/239.16.20.3:10030$河南电信
CCTV4,http://183.164.55.112:5000/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://111.193.235.246:8888/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://182.135.34.97:888/rtp/239.94.0.4:5140$四川电信
CCTV4,http://106.116.240.74:9999/rtp/239.254.200.190:6307$河北省电信
CCTV4,http://171.8.84.159:8800/rtp/239.16.20.4:10040$河南电信
CCTV4欧洲,http://111.193.235.246:8888/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://106.116.240.74:9999/rtp/239.254.201.205:4220$河北省电信
CCTV4美洲,http://111.193.235.246:8888/rtp/239.3.1.214:4220$北京市联通
CCTV4美洲,http://106.116.240.74:9999/rtp/239.254.201.206:4220$河北省电信
CCTV5,http://183.164.55.112:5000/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://111.193.235.246:8888/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://182.135.34.97:888/rtp/239.94.0.33:5140$四川电信
CCTV5,http://182.135.34.97:888/rtp/239.94.2.30:5140$四川电信
CCTV5,http://182.135.34.97:888/rtp/239.94.0.5:5140$四川电信
CCTV5,http://106.116.240.74:9999/rtp/239.254.201.153:7206$河北省电信
CCTV5,http://171.8.84.159:8800/rtp/239.16.20.53:10530$河南电信
CCTV5+,http://183.164.55.112:5000/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://111.193.235.246:8888/rtp/239.3.1.130:8004$北京市联通
CCTV5+,http://182.135.34.97:888/rtp/239.94.0.19:5140$四川电信
CCTV5+,http://182.135.34.97:888/rtp/239.94.0.23:5140$四川电信
CCTV5+,http://106.116.240.74:9999/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV6,http://183.164.55.112:5000/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://111.193.235.246:8888/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://182.135.34.97:888/rtp/239.94.0.6:5140$四川电信
CCTV6,http://182.135.34.97:888/rtp/239.94.2.33:5140$四川电信
CCTV6,http://182.135.34.97:888/rtp/239.94.0.34:5140$四川电信
CCTV6,http://106.116.240.74:9999/rtp/239.254.201.154:7207$河北省电信
CCTV6,http://171.8.84.159:8800/rtp/239.16.20.6:10060$河南电信
CCTV7,http://183.164.55.112:5000/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://111.193.235.246:8888/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://182.135.34.97:888/rtp/239.94.0.7:5140$四川电信
CCTV7,http://106.116.240.74:9999/rtp/239.254.200.159:6000$河北省电信
CCTV7,http://171.8.84.159:8800/rtp/239.16.20.51:10510$河南电信
CCTV8,http://183.164.55.112:5000/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://111.193.235.246:8888/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://182.135.34.97:888/rtp/239.94.0.8:5140$四川电信
CCTV8,http://182.135.34.97:888/rtp/239.94.0.35:5140$四川电信
CCTV8,http://182.135.34.97:888/rtp/239.94.2.29:5140$四川电信
